No.,Date,Media,Headline,Journalist,Type,Angle,Remark
1,2023.12.26,더벨,"스파크랩, 호주 투자 농업벤처 기업가치 2조로 '쑥'",이영아,,농업기술 액셀러레이터 '컬티베이트8'의 성과,
2,2023.12.06,한국경제,혹한기' 해외로 눈 돌리는 K액셀러레이터…동남아 등에 거점,"허란, 김종우",,K엑셀러레이터 해외진출,
3,2023.11.01,조선일보,"[쫌아는기자들] 마플코퍼레이션, 굿즈 시장에 디테일을 더하면?",기고(김호민 대표),,마플코퍼레이션 기고,
4,2023.10.23,아시아경제,尹대통령 '중동 경제 사절단'에 포함된 VC들은 어디?,김대현,,윤 대통령과 중동 순방 VC,
5,2023.10.22,IT조선,[주간 스타트업 브리핑] 2023 중소기업 기술·경영 혁신대전 개최 외,변인호,,엑셀러레이터 프로그램 22기 기업 모집,
6,2023.10.21,서울창업신문,"스파크랩, 액셀러레이터 22기 프로그램 참가 기업 모집",황현주,,엑셀러레이터 프로그램 22기 기업 모집,
7,2023.10.21,이데일리,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",김현아,,엑셀러레이터 프로그램 22기 기업 모집,
8,2023.10.20,스타트업투데이,"[카드뉴스] 스파크랩, 22기 배치 프로그램 참가 기업 모집",신서경,,엑셀러레이터 프로그램 22기 기업 모집,
9,2023.10.20,와우테일,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집(~10월29일)",정명화,,엑셀러레이터 프로그램 22기 기업 모집,
10,2023.10.20,beSUCCESS,"스파크랩, 액셀러레이터 프로그램 ‘배치 22기’ 참가모집",NA,,엑셀러레이터 프로그램 22기 기업 모집,
11,2023.10.20,데이터넷,"스타트업 액셀러레이터 스파크랩, 22기 배치 프로그램 참가사 모집",강석오,,엑셀러레이터 프로그램 22기 기업 모집,
12,2023.10.20,지디넷코리아,"스파크랩, 성장하고픈 초기 스타트업 29일까지 모집",백봉삼,,엑셀러레이터 프로그램 22기 기업 모집,
13,2023.10.20,한경잡앤조이,"18개월 간 1억원 이상 집중 투자···스파크랩, 22기 스타트업 모집",강홍민,,엑셀러레이터 프로그램 22기 기업 모집,
14,2023.10.20,매일경제,"스파크랩, 스타트업 액셀러레이터 프로그램 22기 참가 기업 모집",정호준,,엑셀러레이터 프로그램 22기 기업 모집,
15,2023.10.20,머니투데이,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",남미래,,엑셀러레이터 프로그램 22기 기업 모집,
16,2023.10.20,뉴스웍스,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",문병도,,엑셀러레이터 프로그램 22기 기업 모집,
17,2023.10.20,벤처스퀘어,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",오효진,,엑셀러레이터 프로그램 22기 기업 모집,
18,2023.10.20,아시아경제,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",김철현,,엑셀러레이터 프로그램 22기 기업 모집,
19,2023.10.20,베타뉴스,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",이승히,,엑셀러레이터 프로그램 22기 기업 모집,
20,2023.10.20,이투데이,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",정수천,,엑셀러레이터 프로그램 22기 기업 모집,
21,2023.10.20,플래텀,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",NA,,엑셀러레이터 프로그램 22기 기업 모집,
22,2023.10.20,매일경제,"스파크랩, 액셀러레이터 프로그램 22기 기업 모집",조광현,,엑셀러레이터 프로그램 22기 기업 모집,
23,2023.10.17,한경잡앤조이,"제22기 스파크랩 Batch 프로그램 설명회, DDM 청년창업센터 유니콘에서 성료",이진호,,배치 프로그램 설명회 성료,
24,2023.10.13,더구루,"스파크랩, 美 나스닥 스팩 상장 성공",정등용,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
25,2023.10.12,머니투데이,"[기고] 스타트업 가치 산정, 창업자가 주의할 원칙",기고(김호민 대표),,스타트업 기업가치 산정에 관한 주요 원칙,
26,2023.10.10,머니투데이,"스파크랩그룹 스팩, 美 나스닥 상장...스타트업 IPO·M&A 지원",남미래,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
27,2023.10.10,beSUCCESS,"벤처캐피털 스파크랩그룹 스팩 기업 ‘스파크 애퀴지션’, 나스닥 상장",NA,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
28,2023.10.10,와우테일,"스파크랩그룹 스팩 기업 ‘스파크 애퀴지션’, 나스닥 상장",정명화,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
29,2023.10.10,블로터,나스닥 입성 '스파크랩그룹 SPAC'...아시아 스타트업 IPO 지원 [넘버스],황금빛,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
30,2023.10.10,뉴시스,"글로벌 투자사' 스파크랩그룹 스팩 기업, 나스닥 상장",NA,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
31,2023.10.10,데이터넷,"스파크랩그룹 스팩 기업 '스파크 애퀴지션', 나스닥 스팩 상장",강석오,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
32,2023.10.10,디스커버리뉴스,"스파크랩그룹 스팩 기업 '스파크 애퀴지션', 나스닥 상장",정기환,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
33,2023.10.10,전자신문,"스파크랩그룹, 미국 나스닥 스팩 상장",송윤섭,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
34,2023.10.10,ZDNet Korea,"스파크랩그룹 스팩 기업 '스파크 애퀴지션', 나스닥 상장",백봉삼,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
35,2023.10.10,벤처스퀘어,"스파크랩그룹 스팩 기업 ‘스파크 애퀴지션’, 나스닥 상장",오효진,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
36,2023.10.10,한경비즈니스,"스파크랩그룹 스팩 기업 ‘스파크 애퀴지션’, 나스닥 상장",강홍민,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
37,2023.10.10,뉴스웍스,스파크 애퀴지션 '나스닥 상장'…M&A·IPO 파트너로 협력,문병도,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
38,2023.10.10,매일경제,"글로벌 투자사 스파크랩그룹 스팩 기업 ‘스파크 애퀴지션’, 나스닥 상장",조광현,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
39,2023.10.10,이슈앤비즈,"글로벌 투자사 스파크랩그룹 스팩 기업 ‘스파크 애퀴지션’, 나스닥 상장",김하성,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
40,2023.10.10,베타뉴스,"스파크랩그룹 스팩 기업 스파크 애퀴지션, 나스닥 상장",이승희,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
41,2023.10.10,파이낸셜뉴스,"[fn마켓워치]스파크 애퀴지션, 美 나스닥 스팩 상장 성공",강구귀,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
42,2023.10.7,플래텀,"글로벌 액셀러레이터 스파크랩그룹 스팩, 나스닥 상장",김문선,,스파크랩그룹 스팩 기업 '스파크 애퀴지션' 미 나스닥 스팩 상장,
43,2023.9.27,beSUCCESS,"스파크랩, 건국대학교 캠퍼스타운사업단과 ‘K-이노스 창업스쿨’ 성과발표회 개최",NA,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
44,2023.9.27,데이터넷,"스파크랩·건국대, 'K-이노스 창업스쿨' 성과발표회 성료",강석오,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
45,2023.9.27,로이슈,"[IT이슈] 리씽크, 추석 연휴 기간 빈티지 명품 컬렉션 진행 外",편도욱,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
46,2023.9.27,매일경제,"스파크랩 - 건국대학교, ‘K-이노스 창업스쿨’ 성과발표회 성료",조광현,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
47,2023.9.27,머니투데이,"스파크랩-건국대, '2023 K-이노스 창업스쿨' 성료",김태현,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
48,2023.9.27,플래텀,"스파크랩-건국대학교, ‘K-이노스 창업스쿨’ 성과발표회 성료",NA,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
49,2023.9.27,뉴스웍스,스파크랩-건국대 'K-이노스 창업스쿨' 성과발표회,문병도,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
50,2023.9.27,베타뉴스,"스파크랩, 건국대학교와 함께 한 K-이노스 창업스쿨 3팀의 우수기업 선정",이승희,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
51,2023.9.27,벤처스퀘어,"스파크랩·건국대학교, ‘K-이노스 창업스쿨’ 성과발표회 성료",오효진,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
52,2023.9.27,ZDNet Korea,"스파크랩-건국대, ‘K-이노스 창업스쿨’ 성과발표회서 3개 우수기업 선정",백봉삼,,건국대와 '2023 K-이노스 창업스쿨' 성과발표회 성료,
53,2023.9.17,머니투데이,"스파크랩, 사우디 스타트업 육성한다…오일머니 벤처펀드도 조성",남미래,,스파크랩그룹 사우디 스타트업 육성 ,
54,2023.9.7,조선일보,"[쫌아는기자들] 그때투자 ‘긴트’, 한국에도 농업 자율주행 시장 스타트업이 있다",기고(김유진 대표),,긴트,
