매체명,도메인
조선일보,chosun.com
중앙일보,joongang.com
동아일보,donga.com
매일경제,mk.co.kr
한국경제,hankyung.com
연합뉴스,yna.co.kr
머니투데이,mt.co.kr
서울경제,sedaily.com
뉴스1,news1.kr
파이낸셜뉴스,fnnews.com
조선비즈,chosunbiz.com
이데일리,edaily.co.kr
아시아경제,asiae.co.kr
헤럴드경제,heraldcorp.com
전자신문,etnews.com
부산일보,busan.com
더팩트,tf.co.kr
블로터,bloter.net
IT동아,itdonga.com
스타트업엔,startupn.kr
벤처스퀘어,venturesquare.net
플래텀,platum.kr
테크42,tech42.co.kr
비석세스,besuccess.com
더벨,thebell.co.kr
더구루,theguru.co.kr
