기업명(한글),기업명(영문),그룹/리전(시장),카테고리,보조키워드,제외키워드,
페이워크,Paywork,Korea,포트폴리오 소식,"Paywork, 지투시그마, 손지인, 페이워크",,
이어가다,Eargada,Korea,포트폴리오 소식,"나디오, Nadio, 나디오스튜디오, 최자인, 박현아",,
그로스핏,Growth Fit,Korea,포트폴리오 소식,"Growth Fit, 송창열, 그로스핏",,
로그스택,Logstack,Korea,포트폴리오 소식,"Logstack, 한정규, 로그스택",,
메타파스,Metarpas,Korea,포트폴리오 소식,"솔빛, Solbit, 허철균",,
브이아이코리아,VI Korea,Korea,포트폴리오 소식,"Cays, 케이즈, 신윤정",,
욜카고,YOL CARGO,Korea,포트폴리오 소식,"YOL CARGO, 욜카고, 와이오엘, 정현웅",,
벳플럭스,Vetflux,Korea,포트폴리오 소식,"늘펫플러스, Neulpet Plus, 윤상우",,
플루언트,FluentT,Korea,포트폴리오 소식,"FluentT, 전예찬, talkmotion",,
케이존,KZONE,Korea,포트폴리오 소식,"리맥스, REMEX, 김성수",,
룩인사이트,Lookinsight,Korea,포트폴리오 소식,"약올려, 낱알보상포인트, 가진웅",,
스플랩,Splab,Korea,포트폴리오 소식,"센드타임, Sendtime, 우모, Umoh, 선민승",,
히릿소프트,Hiritsoft,Korea,포트폴리오 소식,"메이더, Maderr, 정주현",,
에크네,EKNE,Korea,포트폴리오 소식,"EKNE, 투고하다, Toogohada, 김민호",,
본작,BONJAC,Korea,포트폴리오 소식,"셀바티코, Selvatico, 배형진",,
소프트랜더스,SoftLanders,Korea,포트폴리오 소식,"SoftLanders, 리로케이션, 해외주재원, 한만주",,
엘로이랩,elroilab,Korea,포트폴리오 소식,"Spectral AI, 유광선",,
베러먼데이코리아,Better Monday Korea,Korea,포트폴리오 소식,"Better Monday, 베러먼데이, 도경백",,
쿼드메디슨,QuadMedicine,Korea,포트폴리오 소식,"마이크로니들, 백승기",,
유유유유유,UUUUU,Korea,포트폴리오 소식,"UUUUU, 셀프젤네일, 김민서, 유유유유유",,
해브해드,Havehad,Korea,포트폴리오 소식,"Havehad, 시티보이룩, 이승환",,
비마이프렌즈,bemyfriends,Korea,포트폴리오 소식,"b.stage, 비스테이지, 서우석",,
루센트블록,LUCENTBLOCK,Korea,포트폴리오 소식,"소유, SOU, 부동산 조각투자, 허세영",,
앰버로드,AMBER ROAD,Korea,포트폴리오 소식,"마이너리포트, miner report, 임언호",,
이노제닉스,INOGENIX,Korea,포트폴리오 소식,"AGA, 액체생검, 이노제닉스, 대장암, 이혜영",,
에큐리바이오,Accurie Biosciences,Korea,포트폴리오 소식,"enPhaG, 신수안",,
리빗,LIVIT,Korea,포트폴리오 소식,"탄솔루션, TANSOLUTION, 이정민",,
랭코드,Langcode,Korea,포트폴리오 소식,"Langcode CXP, 김민준",,
미드바르,Midbar,Korea,포트폴리오 소식,"에어팜, AirFarm, 서충모",,
담화컴퍼니,Damhwa Company,Korea,포트폴리오 소식,"술담화, Sooldamhwa, 이재욱",,
배젠,Baegen,Korea,포트폴리오 소식,"BG-519, 배준",,
메디띵스,MEDiThings,Korea,포트폴리오 소식,"메디라이트, 배뇨장애",,
도시곳간,Dosigotgan,Korea,포트폴리오 소식,"도시곳간, 민요한",,
마인이스,Mine.is,Korea,포트폴리오 소식,"차란, Charan, 김혜성",,
아스타,Astar,Korea,포트폴리오 소식,"카피클, Copykle, 이재원",,
바닐라브레인,Vanilabrain,Korea,포트폴리오 소식,"장사왕, 윤도선",,
잇마플,Eatmapl,Korea,포트폴리오 소식,"맛있저염, 김현지",,
로지스팟,logispot,Korea,포트폴리오 소식,"로지스팟, 박준규",,
투스노트,toothnote,Korea,포트폴리오 소식,"투스노트, toothnote, 지아이빌리언스, 최영성",,
스파크펫,Sparkpet,Korea,포트폴리오 소식,"놀로, 최두열",,
카머스,CARMERCE,Korea,포트폴리오 소식,"카머스, 중고차, 안인성",,
펄스애드,PulseAd,Korea,포트폴리오 소식,"PulseAd, 윤거성",,
스타일메이트,Stylemate,Korea,포트폴리오 소식,"스타일메이트, 한상희",,
데이터빈,DataBean,Korea,포트폴리오 소식,"스마트박스, 김수용",,
드래프타입,Draftype,Korea,포트폴리오 소식,"드래프타입스튜디오, 김대희",,
쿠파,KUPA,Korea,포트폴리오 소식,"엣지, Edge, 노명헌",,
리체,LICHE,Korea,포트폴리오 소식,"로마드, 김홍규",,"센텀, GS"
제스트,ZEST Inc.,Korea,포트폴리오 소식,"빌드체인, 정호건",,
캥스터즈,Kangsters Corp.,Korea,포트폴리오 소식,"휠리엑스, 휠리엑스플레이, 휠스터미니, 김강",,
피에로컴퍼니,Pierrot Company Inc.,Korea,포트폴리오 소식,"폰고, 리고, 리고트레이드, 박민진",,
임팩터스,IMPACTUS,Korea,포트폴리오 소식,"임팩트 스페이스, 김보경",,
폴리머라이즈,Polymerize Korea LLC,Korea,포트폴리오 소식,"Polymerize Labs, 폴리머라이즈코리아, 박은규, Sandeep Kunal",,
부에노컴퍼니,"Bueno Company Co., Ltd.",Korea,포트폴리오 소식,"템플리, 이선희",,
스프링어게인,"Spring Again Co., Ltd.",Korea,포트폴리오 소식,"다시봄, 주이나",,
댄스트럭트,"Danstruct Co., Ltd.",Korea,포트폴리오 소식,"엑스테이지, 아키드, 윤혜린",,
이퀄테이블,Equal Table Inc.,Korea,포트폴리오 소식,"내일의커피, 문준석",,
로브스터,Lobster,Korea,포트폴리오 소식,"멈블, Mumble, 양주영",,
에이보랩스,AvoLabs,Korea,포트폴리오 소식,"아보링고, AvoLingo, 데이즈 알바이라크",,
슬로웨이브,SLOWAVE,Korea,포트폴리오 소식,"슬로웨이브 1.0, 류경호",,
슈타겐,shutagen,Korea,포트폴리오 소식,"메타라인, MetaLine, 김원현",,
빔스튜디오,BeamStudio,Korea,포트폴리오 소식,"비엠리얼솔루션, 정영범","VIIMstudio, 바이스벌사",
르호사,Lehosa,Korea,포트폴리오 소식,"크로마키, 미스그린, 김미진",,
젤코,GELKO,Korea,포트폴리오 소식,"젤코, 마정수",,
갭텍,GAPT,Korea,포트폴리오 소식,"갭텍, 김은학",,
팀카이,TeamKai,Korea,포트폴리오 소식,"KaiCX, 김도아",,
스파크랩,SparkLabs,Korea,스파크랩 뉴스,"액셀러레이터, 김호민, 데모데이, SparkClaw, 토큰밸리, 김유진, 이한주","스파크, Spark, 랩, Labs",
스파크랩 타이완,SparkLabs Taiwan,Taiwan,스파크랩 그룹 뉴스,Edgar Chiu,"스파크, Spark, 랩, Labs",
스파크랩 호주,SparkLabs Cultiv8,Australia,스파크랩 그룹 뉴스,Malcolm Nutt,"스파크, Spark, 랩, Labs",
스파크랩 사우디,SparkLabs SAUDI ARABIA,Saudi,스파크랩 그룹 뉴스,Ivan Grlic,"스파크, Spark, 랩, Labs",
스파크랩 파트너스,SparkLabs Partners,Korea,스파크랩 그룹 뉴스,김호민,"스파크, Spark, 랩, Labs",
스파크바이오랩,SparkBioLabs,Korea,스파크랩 그룹 뉴스,"김호민, 이홍주","스파크, Spark, 랩, Labs",
스파크랩 글로벌벤처스,SparkLabs Global Ventures,USA,스파크랩 그룹 뉴스,버나드문,"스파크, Spark, 랩, Labs",
스파크랩 그룹,SparkLabs Group,USA,스파크랩 그룹 뉴스,"버나드문, 김호민",,
넥스트라이즈,NextRise,Korea,스타트업계 소식,,,
벤처 투자,Venture Capital,Korea,스타트업계 소식,,,
스타트업,Startup,Korea,스타트업계 소식,,,
중소벤처기업부,Ministry of SMEs and Startups,Korea,스타트업계 소식,,,
창업가,Founder,Korea,스타트업계 소식,,,
창업진흥원,Korea Institute of Startup & Entrepreneurship Development,Korea,스타트업계 소식,,,
컴업,COMEUP,Korea,스타트업계 소식,,,
팁스,Tech Incubator Program for Startup,Korea,스타트업계 소식,,,
한국엔젤투자협회,Korea Business Angels Association,Korea,스타트업계 소식,,,
아웃스탠딩,Outstanding,Korea,스타트업계 소식,,,
투자유치,Fundraising,Korea,스타트업계 소식,,,
오픈이노베이션,Open Innovation,Korea,스타트업계 소식,,,
정부지원사업,Government Support Program,Korea,스타트업계 소식,,,
콘텐츠진흥원,Korea Creative Content Agency,Korea,스타트업계 소식,,,
펀드결성,Fund Formation,Korea,스타트업계 소식,,,
부산,Busan,Korea,스타트업계 소식,,,
벤처,Venture,Korea,스타트업계 소식,,,
한국초기투자기관협회,Korea Early Stage Investment Association,Korea,스타트업계 소식,,,
한국벤처투자,Korea Venture Investment Corporation,Korea,스타트업계 소식,,,
한국벤처캐피탈협회,Korean Venture Capital Association,Korea,스타트업계 소식,,,
과학기술정보통신부,Ministry of Science and ICT,Korea,스타트업계 소식,,,
산업통상자원부,"Ministry of Trade, Industry and Energy",Korea,스타트업계 소식,,,
창조경제혁신센터,Center for Creative Economy and Innovation,Korea,스타트업계 소식,,,
서울산업진흥원,SBA,Korea,스타트업계 소식,,,
코트라,KOTRA,Korea,스타트업계 소식,,,
케이스타트업,K-Startup,Korea,스타트업계 소식,,,
케이글로벌,K-Global,Korea,스타트업계 소식,,,
모태펀드,Fund of Funds,Korea,스타트업계 소식,,,
상장,IPO,Korea,스타트업계 소식,,,
인수합병,M&A,Korea,스타트업계 소식,,,
유니콘,Unicorn,Korea,스타트업계 소식,,,
액셀러레이터,AC,Korea,스타트업계 소식,,,
벤처캐피털,VC,Korea,스타트업계 소식,,,
기업주도 벤처캐피탈,CVC,Korea,스타트업계 소식,,,
엑시트,Exit,Korea,스타트업계 소식,,,
딥테크,deepTech,Korea,스타트업계 소식,,,
스케일업,Scale-up,Korea,스타트업계 소식,,,
씨이에스,CES,Korea,스타트업계 소식,,,
트라이에브리씽,Try Everything,Korea,스타트업계 소식,,,
500스타트업,500 Global,Korea,타 하우스 AC · VC 동향,,,
드림플러스,DreamPlus,Korea,타 하우스 AC · VC 동향,,,
디캠프,D.CAMP,Korea,타 하우스 AC · VC 동향,,,
세콰이어캐피탈,Sequoia Capital,Korea,타 하우스 AC · VC 동향,,,
와이콤비네이터,Y Combinator,Korea,타 하우스 AC · VC 동향,,,
플러그앤플레이,Plug and Play,Korea,타 하우스 AC · VC 동향,,,
블루포인트파트너스,Bluepoint Partners,Korea,타 하우스 AC · VC 동향,,,
소풍벤처스,Sopoong Ventures,Korea,타 하우스 AC · VC 동향,,,
패스트벤처스,Fast Ventures,Korea,타 하우스 AC · VC 동향,,,
프라이머,Primer,Korea,타 하우스 AC · VC 동향,,,
끌림벤처스,Kkulim Ventures,Korea,타 하우스 AC · VC 동향,,,
더벤처스,TheVentures,Korea,타 하우스 AC · VC 동향,,,
와이앤아처,Y&Archer,Korea,타 하우스 AC · VC 동향,,,
